filepath,label,split,group_id,source_group,sha256,dhash,source_folder
dataset/milk_carton/off_0858385007035_e1f5e24988.jpg,milk_carton,external_test,off-sku:0858385007035,off-sku:0858385007035,46b44bd0b44ecd3fcd17818d71a0ea391027ed862504c1d9747a7aa4471ecd98,a78d89e3e1f0f0e9,milk_carton
dataset/milk_carton/off_0858385007219_b1adb3dffb.jpg,milk_carton,external_test,off-sku:0858385007219,off-sku:0858385007219,1bc5f483428278214c58700d1fdd751a6317d48615de9cc60dff43fb8a236fbb,33133353554472b3,milk_carton
dataset/milk_carton/off_0858385007400_e798b74878.jpg,milk_carton,external_test,off-sku:0858385007400,off-sku:0858385007400,01014eaecbb3ded25302a7f7832a4e814dc478dfcf7be383feb8ece9f9d6e7d6,00131d8c0313800c,milk_carton
dataset/milk_carton/off_0858385007424_6d49cbf377.jpg,milk_carton,external_test,off-sku:0858385007424,off-sku:0858385007424,daae57f0cfb7ab4bf2f290828c78c8605323f3858861f6083b2814547cf0495c,b0519194c1e1f0c4,milk_carton
dataset/milk_carton/off_0858385007448_605615e171.jpg,milk_carton,external_test,off-sku:0858385007448,off-sku:0858385007448,3a76b1501da90fe31cf69a30436421c5eafcd86a61ed14ffad69a76d6c2241ba,07262f2763330783,milk_carton
dataset/milk_carton/off_4716808673402_335c3638f8.jpg,milk_carton,external_test,off-sku:4716808673402,off-sku:4716808673402,5c849623c453b7582fc3e0b0dea4af1fbadf2370f10f8d216f216d32f295a726,6433330f1d0d1c8c,milk_carton
dataset/milk_carton/off_4894488010592_6f0ab66491.jpg,milk_carton,external_test,off-sku:4894488010592,off-sku:4894488010592,07952700376bda0bc91d575497e0840562f6cf94d690b137f38465b57e36f323,0e92868e9290a0c0,milk_carton
dataset/milk_carton/off_8718182063103_a67bdc7847.jpg,milk_carton,external_test,off-sku:8718182063103,off-sku:8718182063103,c5babf208753848fb3d7b64cbbd61cfba77fc474b4e3bb44f2e96806ef88aab9,0f3373cde9a92f0f,milk_carton
dataset/milk_carton/off_8934841903058_04d7c2cb4a.jpg,milk_carton,external_test,off-sku:8934841903058,off-sku:8934841903058,83fa9a2cdd6a5d87cf8868b54b8f3cf6d2b2e4165f162d761e69ead027935dfd,15150f674b5b710d,milk_carton
dataset/milk_carton/off_8938503131728_97c391fc9d.jpg,milk_carton,external_test,off-sku:8938503131728,off-sku:8938503131728,b25625047367e50291d196ea3e6c639e6ef904530b69a97d41690852a8412e4f,d8e8b09898b0f0e0,milk_carton
