filepath,label,split,group_id,sha256,dhash
dataset/battery/dl_00000_d39d3633.jpg,battery,test,download-source:battery:d39d3633,9aef7c911b6408c10c84ac32d1c1b030df2da4783fe7abce1ea7471b77d023e7,0000484c4c626081
dataset/battery/dl_00012_338dea8b.jpg,battery,test,download-source:battery:338dea8b,21abd01b6375c0d5cbdaf543e5c56457ab03b03984f7e295894f40be3a8d4ef0,31e8ccc585949818
dataset/battery/dl_00012_3fa66823.jpg,battery,test,download-source:battery:3fa66823,09d5498182c91397395333234de33901c533abbf45815bf95fe7233890147168,1f1f1f3f0f3debef
dataset/battery/dl_00012_421f1943.jpg,battery,test,download-source:battery:421f1943,defe2bd37c300dd8727c53e4c65048035e603706a4b0ee3537a7bfadc3911890,858c86272185cd6d
dataset/battery/dl_00012_43aa4295.jpg,battery,test,download-source:battery:43aa4295,267522a358a15b43e73f4379ea061a5cf86603ffd441aaedb297ae45245a8d6a,031174f8f0fcf8e0
dataset/battery/dl_00012_481e79cf.jpg,battery,test,download-source:battery:481e79cf,b4dd2e469cefda70782242855d4a899ec188d4c8077bbd014fd5e69c1aa18ad8,c0c0c0f070381c0c
dataset/battery/dl_00012_4e4995b2.jpg,battery,test,download-source:battery:4e4995b2,9e4cf7bdfc03e24cdae6e1ed7863258122c3777db621088628597196256f5f80,eefce6d29ad9e327
dataset/battery/dl_00012_62745f2a.jpg,battery,test,download-source:battery:62745f2a,c40eb797c299f89afb44f590853dc86afb0b7b7a5b8c8698d9ccdd4164139026,00000139b8b01890
dataset/battery/dl_00012_6c921b16.jpg,battery,test,download-source:battery:6c921b16,fd823cbf50fc80ec6c909c70ed6dd970ba1e049b9e94c0e2e06ca958977c33aa,f376f032a8589313
dataset/battery/dl_00012_71b1a358.jpg,battery,test,download-source:battery:71b1a358,1bc210fc2a7ace39a6eac73c63de1bda86315012ba56ac5619acc5555d543955,070f3cf8e0e0f078
dataset/battery/dl_00012_ba0aa5ac.jpg,battery,test,download-source:battery:ba0aa5ac,9dc97594cdd0d501d318823337d0fdcd7e8dd2c64fc0e2eef82597734d4a095f,86a2f0f0f0e4e0a6
dataset/battery/dl_00012_c2ac00b7.jpg,battery,test,download-source:battery:c2ac00b7,95c9b44d482199db9153ea31f2b62281f06881ba45a391c769085796b25d5b17,1031e4f0b0ab97ef
dataset/battery/dl_00012_d8660bbf.jpg,battery,test,download-source:battery:d8660bbf,84694da10c7ddf314276306a2eaf9a9c75f8453c55401a15ab39e7b9103e069e,87244570b4f089b1
dataset/battery/dl_00107_1d9ad32e.jpg,battery,test,download-source:battery:1d9ad32e,2fcdca77f480159fa53266b15f4d8c671978682c26a8df44a72852c833fed125,16d37a3793991d1f
